id,cluster,type,status,last_updated,notes
RED-W7,Red,Washer,Working,2025-10-30 23:59:00,
RED-W8,Red,Washer,Working,2025-10-30 23:59:00,
RED-W9,Red,Washer,Working,2025-10-30 23:59:00,
RED-W10,Red,Washer,Working,2025-10-30 23:59:00,
RED-D7,Red,Dryer,Working,2025-10-30 23:59:00,
RED-D8,Red,Dryer,Working,2025-10-30 23:59:00,
RED-D9,Red,Dryer,Working,2025-10-30 23:59:00,
RED-D10,Red,Dryer,Working,2025-10-30 23:59:00,
BLUE-W4,Blue,Washer,Working,2025-10-30 23:59:00,
BLUE-W5,Blue,Washer,Working,2025-10-30 23:59:00,
BLUE-W6,Blue,Washer,Working,2025-10-30 23:59:00,
BLUE-D5,Blue,Dryer,Working,2025-10-30 23:59:00,
BLUE-D6,Blue,Dryer,Working,2025-10-30 23:59:00,
YELLOW-W1,Yellow,Washer,Working,2025-10-30 23:59:00,
YELLOW-W2,Yellow,Washer,Working,2025-10-30 23:59:00,
YELLOW-W3,Yellow,Washer,Working,2025-10-30 23:59:00,
YELLOW-D1,Yellow,Dryer,Working,2025-10-30 23:59:00,
YELLOW-D2,Yellow,Dryer,Working,2025-10-30 23:59:00,
YELLOW-D3,Yellow,Dryer,Working,2025-10-30 23:59:00,
